right_elbow_right_shoulder_right_hip,left_elbow_left_shoulder_left_hip,right_knee_mid_hip_left_knee,right_hip_right_knee_right_ankle,left_hip_left_knee_left_ankle,right_wrist_right_elbow_right_shoulder,left_wrist_left_elbow_left_shoulder,pose
75.75,73.75,47.5,85.44,70.5,129.0,145.1,1
59.4,35.78,46.16,115.2,114.75,151.5,138.2,1
67.4,33.34,60.16,142.8,126.9,149.9,137.1,1
72.94,53.8,53.84,115.6,100.06,141.5,137.0,1
63.12,25.44,58.88,148.8,135.8,142.5,133.8,1
73.4,33.44,90.1,158.4,145.9,126.5,131.2,1
69.9,23.95,85.7,158.2,154.8,118.44,130.8,1
62.94,17.97,82.1,167.0,160.4,95.94,128.0,1
57.8,18.77,78.25,163.6,163.5,69.6,128.5,1
46.7,16.62,102.3,164.4,160.5,61.16,128.2,1
52.78,17.31,100.7,168.1,152.8,61.12,120.06,1
57.06,22.19,103.6,170.5,163.6,59.38,119.94,1
64.7,39.4,67.94,142.6,124.8,145.0,136.9,1
62.62,26.16,108.8,165.1,162.8,59.3,123.3,1
79.94,36.4,105.4,152.5,155.1,79.7,124.56,1
86.3,48.84,103.56,110.94,119.06,82.75,132.0,1
74.5,41.97,92.25,128.9,117.8,77.1,136.0,1
61.0,34.8,70.4,144.1,131.8,147.1,135.6,1
66.2,24.84,98.9,163.2,155.2,53.7,121.6,1
34.56,29.52,108.7,173.0,167.0,78.3,126.9,1
31.34,25.64,114.0,172.2,166.8,80.0,125.25,1
36.34,25.28,109.44,171.2,166.0,75.3,124.0,1
37.1,23.67,111.7,169.1,166.5,71.75,124.4,1
37.22,22.92,106.3,167.2,161.5,72.9,118.25,1
44.56,30.02,100.5,148.9,143.9,73.75,126.06,1
63.7,35.84,68.75,153.5,139.0,145.5,134.0,1
64.4,39.7,87.6,112.9,111.44,60.6,133.4,1
45.28,24.44,100.7,153.9,146.4,66.56,121.3,1
35.22,21.1,108.5,170.5,165.5,72.94,125.7,1
28.89,17.77,95.06,167.4,156.5,78.3,127.9,1
35.88,15.89,90.56,169.0,153.0,61.44,126.5,1
35.78,16.84,85.1,167.0,151.2,61.0,127.75,1
61.72,32.38,67.94,156.1,140.4,146.1,132.6,1
61.84,26.75,90.5,158.1,142.6,90.5,131.4,1
90.5,66.0,81.44,119.7,106.25,119.4,136.1,1
98.06,73.75,74.6,113.25,103.44,135.8,139.2,1
64.06,35.72,69.9,153.1,140.2,148.8,134.6,1
76.0,39.47,88.75,148.6,129.8,105.4,133.0,1
66.94,31.38,96.0,161.1,150.1,119.3,136.4,1
44.38,22.62,88.3,168.5,157.4,63.06,134.9,1
60.78,26.2,91.56,164.5,149.1,114.3,135.5,1
73.8,34.72,98.7,155.5,145.1,122.25,136.1,1
79.1,43.75,79.7,114.0,104.2,124.5,133.6,1
65.4,37.22,71.4,145.2,130.1,149.5,136.6,1
77.7,56.97,67.56,114.56,100.94,91.0,138.5,1
79.2,49.34,95.06,144.5,129.8,77.8,131.5,1
76.25,40.8,100.75,161.6,151.2,95.44,133.8,1
47.8,32.7,98.4,169.0,159.8,62.0,132.4,1
45.75,32.97,92.5,169.1,151.1,64.7,132.2,1
48.94,31.89,88.3,167.5,147.5,58.34,132.8,1
46.03,36.72,96.06,167.0,154.6,76.1,134.4,1
60.06,36.53,67.75,143.9,126.9,149.6,138.9,1
80.25,44.16,96.6,141.4,135.1,132.0,136.2,1
79.0,58.44,66.75,111.25,99.44,101.9,137.1,1
74.9,56.38,71.2,106.2,107.0,98.4,139.5,1
80.25,62.6,69.3,127.7,107.0,111.06,138.8,1
