right_elbow_right_shoulder_right_hip,left_elbow_left_shoulder_left_hip,right_knee_mid_hip_left_knee,right_hip_right_knee_right_ankle,left_hip_left_knee_left_ankle,right_wrist_right_elbow_right_shoulder,left_wrist_left_elbow_left_shoulder,pose
138.0,149.2,77.9,60.34,61.0,107.75,98.44,0
98.9,22.97,90.06,51.34,60.0,145.4,96.06,0
48.28,65.1,84.5,39.1,13.14,117.75,103.25,0
62.16,65.25,73.1,80.44,106.94,142.4,167.5,0
141.2,126.44,105.1,96.94,113.8,97.2,102.56,0
141.5,124.56,99.7,42.84,46.7,134.9,100.44,0
36.88,36.4,62.84,91.5,82.7,128.8,95.0,0
6.355,21.61,83.0,76.0,76.3,116.94,116.1,0
40.2,80.8,112.9,42.16,20.81,100.1,133.9,0
82.75,65.44,20.27,171.1,165.5,141.4,112.4,0
72.9,34.8,143.1,26.66,112.4,144.8,109.5,0
73.1,46.22,92.8,17.44,44.75,105.1,102.3,0
117.3,41.16,80.56,48.3,62.2,47.3,96.8,0
83.9,88.1,46.0,93.0,68.75,81.75,62.8,0
80.44,61.78,50.2,66.56,39.56,96.9,160.9,0
31.55,72.75,73.7,61.88,56.53,114.25,127.5,0
67.4,72.9,114.06,122.56,169.4,158.0,137.5,0
57.06,33.56,71.44,164.2,129.9,90.7,128.6,0
18.06,17.17,58.62,131.5,123.56,131.2,145.2,0
25.48,67.7,72.8,50.47,61.72,116.94,104.0,0
41.8,24.3,43.22,142.5,169.4,44.75,98.8,0
57.72,65.94,24.6,98.5,114.4,122.44,109.8,0
