right_elbow_right_shoulder_right_hip,left_elbow_left_shoulder_left_hip,right_knee_mid_hip_left_knee,right_hip_right_knee_right_ankle,left_hip_left_knee_left_ankle,right_wrist_right_elbow_right_shoulder,left_wrist_left_elbow_left_shoulder
66.97588,67.8168,39.829678,123.64473,121.81249,121.0967,126.44298
57.735527,69.04611,31.11119,132.21785,136.19873,118.27824,126.379776
75.33701,72.67972,33.61035,119.41029,115.27149,126.450386,126.87795
22.120842,18.047136,10.910883,124.91014,118.39501,106.76047,100.985214
52.25824,45.72801,14.647129,136.67084,129.04202,145.39255,142.87982
58.250134,50.68805,16.244411,144.2382,135.50656,141.67926,139.85757
62.629295,59.817635,14.926702,142.88443,133.25134,146.22862,151.17462
18.440098,11.507203,19.133572,137.15633,136.66438,125.37714,131.37378
26.279058,35.168297,24.274452,125.16361,135.28932,127.17648,142.0368
21.451103,18.659285,21.608881,150.36719,140.78134,125.09289,136.21391
13.85005,40.536987,56.09059,152.98647,152.54616,129.96027,152.60533
32.89987,54.644596,57.319176,144.96193,148.3463,128.02295,159.61714
13.604412,15.908691,10.944171,116.36789,112.67381,121.977264,113.98097
8.367436,11.320397,8.154729,130.0205,121.668365,124.473755,116.733406
8.519999,9.254868,10.030778,112.22826,106.719086,129.3744,125.79915
17.021814,10.729047,19.608282,104.64177,108.335365,131.74854,128.76382
25.031311,27.004787,18.676432,143.72339,136.74792,122.75967,134.00945
10.564449,15.139326,11.803803,128.12415,128.82013,115.19486,107.64392
12.30449,36.67656,11.871582,126.05894,118.52652,111.16851,102.9345
10.048809,15.661331,29.969116,126.21186,125.25769,131.46173,99.49513
23.198387,43.489674,13.7573395,126.18377,119.21754,120.99581,134.69876
12.284123,17.026983,16.00649,133.68808,130.32988,108.7732,109.52636
115.34279,109.770134,13.002819,139.63144,137.33482,116.50394,124.41378
24.090912,22.616545,30.35087,127.25535,127.948105,82.86248,68.85102
6.465163,26.436306,64.62792,67.10663,113.12828,113.34603,141.03082
34.71889,48.72629,44.63958,76.01543,100.742,135.72202,156.37564
20.515186,22.774704,12.750393,127.84465,124.97833,125.52994,118.25726
59.789013,18.093155,21.06434,160.89409,136.24454,136.04962,94.81228
27.484503,22.536345,27.068504,168.03432,175.16327,164.54327,168.23814
18.97528,6.6127033,31.44335,174.49353,171.10092,162.44713,166.42766
14.017413,10.519603,17.828548,119.868324,117.3365,121.27785,117.55649
11.7686405,8.741134,17.52062,116.92805,113.92456,124.76082,118.72138
15.924889,10.4398575,15.556287,120.78405,117.25774,125.56163,113.75093
11.577715,10.28647,18.231272,119.11445,116.13077,120.31896,119.576256
10.751247,10.174242,17.789322,128.10388,126.618034,128.28268,117.34017
46.312706,61.438457,23.75607,137.53854,126.64868,117.297844,122.27108
14.854961,28.945047,25.241074,156.90787,157.14383,108.993706,120.11795
13.622842,11.474719,15.698088,142.08177,140.38971,118.04309,112.12152
10.801062,15.084274,11.075442,135.6338,122.46945,34.132294,79.028984
43.099995,48.533928,9.023135,114.724014,105.08652,120.054886,111.9289
53.33796,41.785038,11.553134,112.54486,98.40705,108.90849,104.088585
118.50736,89.35256,68.00269,159.41751,161.1815,163.84956,164.22975
103.196495,91.308784,70.33059,164.60013,161.70323,105.78169,128.10257
100.18633,68.294334,59.51369,156.41815,157.09467,149.48131,138.46358
93.512886,70.5282,58.716988,158.1973,156.96556,155.48207,163.28645
14.747532,24.205753,25.031935,174.12885,174.48106,176.39978,151.39764
19.826801,8.518236,41.06723,175.52072,177.26826,172.01907,157.4255
34.49767,27.73724,40.46845,129.726,123.54823,126.38728,128.27252
15.80045,23.384577,38.61818,173.24991,173.66904,159.80553,167.85165
11.574684,18.780046,21.497074,133.27559,124.625656,112.35725,127.6293
30.419125,33.33348,28.052635,91.60105,98.098045,124.729164,134.01912
14.6174345,16.443758,37.563835,53.08613,43.674133,120.18311,113.53975
