right_elbow_right_shoulder_right_hip,left_elbow_left_shoulder_left_hip,right_knee_mid_hip_left_knee,right_hip_right_knee_right_ankle,left_hip_left_knee_left_ankle,right_wrist_right_elbow_right_shoulder,left_wrist_left_elbow_left_shoulder,pose
79.0,88.7,44.66,154.9,167.9,130.9,154.1,1
75.1,85.1,42.0,152.8,167.1,129.9,152.4,1
65.1,77.7,41.97,149.8,168.0,118.8,144.8,1
55.0,64.44,36.34,148.8,167.2,109.25,140.4,1
96.6,87.56,82.6,152.4,143.0,166.8,112.1,1
65.7,76.5,41.75,151.2,168.1,131.0,149.4,1
71.6,83.56,39.16,150.6,166.9,130.1,151.6,1
74.5,84.56,37.84,152.2,167.9,129.9,154.0,1
76.0,84.94,38.66,152.5,168.0,131.9,153.8,1
72.0,84.06,38.34,148.9,167.8,129.1,151.8,1
74.0,86.56,39.88,152.4,169.9,128.8,152.1,1
75.5,87.25,45.1,150.9,168.1,129.4,153.4,1
63.03,74.3,37.25,153.2,166.9,117.25,142.5,1
97.7,89.3,81.8,152.0,142.0,164.6,110.25,1
64.06,74.56,38.22,150.0,168.1,124.25,148.1,1
69.3,81.5,42.94,150.1,170.8,128.6,156.9,1
68.6,83.2,44.75,148.2,168.1,126.94,156.8,1
69.8,84.4,41.3,149.0,165.9,129.2,158.4,1
98.25,90.06,84.25,154.9,144.8,169.5,107.5,1
67.5,81.94,44.12,149.2,165.6,128.6,156.1,1
70.06,81.8,41.53,149.4,167.9,128.6,158.2,1
71.4,83.56,43.72,148.2,165.4,128.4,156.4,1
70.4,83.0,44.5,150.0,164.1,126.94,155.8,1
69.8,80.75,39.62,149.5,164.1,126.75,153.8,1
67.75,80.8,37.22,148.2,164.6,126.2,156.4,1
59.03,77.25,38.06,145.9,166.9,122.56,152.0,1
54.25,72.44,38.0,146.9,166.6,106.25,145.1,1
95.75,90.4,84.25,155.6,145.6,166.9,107.4,1
62.44,67.5,46.12,151.1,168.4,127.94,149.0,1
65.1,75.4,41.44,154.8,170.2,131.0,150.0,1
65.94,73.9,41.44,151.6,169.4,132.2,151.6,1
67.0,76.56,39.53,154.6,169.0,129.0,152.1,1
66.7,77.75,41.97,151.9,169.2,131.1,150.9,1
65.25,77.7,40.06,152.0,169.1,131.1,150.5,1
99.25,88.56,80.94,154.6,145.0,164.6,111.3,1
65.5,77.7,42.8,154.0,171.5,128.9,151.0,1
65.7,79.25,43.22,153.5,170.0,131.4,150.4,1
59.4,71.06,38.1,151.0,169.8,125.8,146.2,1
54.47,63.03,37.72,146.0,164.1,104.8,137.9,1
97.2,90.8,81.2,155.4,144.1,167.6,110.56,1
60.7,66.1,37.7,146.4,170.8,124.6,140.4,1
69.0,81.3,40.66,153.6,166.1,133.1,147.8,1
78.5,89.7,46.0,146.5,167.1,130.6,154.5,1
97.3,99.56,49.2,132.2,162.1,120.1,150.6,1
95.25,90.1,81.56,157.5,143.4,164.4,113.7,1
91.5,88.5,83.5,154.9,142.1,159.8,110.6,1
87.44,75.94,83.5,150.4,147.8,160.4,103.06,1
109.4,110.8,47.4,123.44,174.2,175.8,170.8,1
109.75,103.9,9.15,168.1,171.8,177.0,168.6,1
107.2,103.44,7.81,171.4,173.4,179.1,169.2,1
108.9,101.4,7.453,173.2,174.4,177.1,167.4,1
108.5,106.3,7.61,172.1,173.5,179.1,169.5,1
105.3,102.0,6.98,173.5,173.6,178.5,170.1,1
105.06,94.06,8.13,171.8,175.5,178.5,165.4,1
104.9,101.5,8.09,172.4,175.4,171.2,163.8,1
105.2,94.8,7.0,176.4,175.8,164.9,161.5,1
83.56,62.0,9.266,176.1,176.0,130.1,121.06,1
101.6,89.94,8.02,174.2,176.4,172.0,160.8,1
102.0,96.2,8.195,174.1,176.0,171.9,165.1,1
102.4,96.56,7.695,174.1,175.9,171.6,164.4,1
100.5,94.94,7.625,174.5,176.1,171.9,162.6,1
103.8,94.1,7.535,174.4,176.5,171.9,161.5,1
102.3,94.56,7.586,175.0,175.8,172.4,162.4,1
103.75,89.4,7.848,174.9,176.2,168.0,157.2,1
102.94,88.9,9.17,176.1,176.4,155.2,149.6,1
