right_elbow_right_shoulder_right_hip,left_elbow_left_shoulder_left_hip,right_knee_mid_hip_left_knee,right_hip_right_knee_right_ankle,left_hip_left_knee_left_ankle,right_wrist_right_elbow_right_shoulder,left_wrist_left_elbow_left_shoulder,pose
86.5,89.0,35.25,47.3,63.38,139.5,141.4,1
50.3,61.12,37.9,48.38,69.7,137.0,139.4,1
65.3,72.4,38.0,46.47,67.2,138.6,139.9,1
41.44,51.5,39.28,51.22,69.9,137.5,138.5,1
26.33,21.5,44.72,61.28,59.6,135.6,126.3,1
73.6,80.7,37.78,49.62,67.2,138.5,139.9,1
58.22,65.2,38.3,46.94,61.56,138.5,137.5,1
42.75,52.8,40.12,48.1,67.56,135.6,137.5,1
58.5,67.25,38.53,46.38,64.75,137.5,139.5,1
75.9,83.6,40.75,45.72,68.44,139.5,140.8,1
39.94,50.16,38.7,50.25,65.25,133.0,136.1,1
51.9,63.72,38.62,50.9,73.8,137.5,143.4,1
58.2,67.9,38.78,52.1,69.0,137.4,140.4,1
51.1,59.5,38.44,47.97,64.5,138.8,140.1,1
77.0,78.56,37.72,47.38,65.94,135.1,133.6,1
25.84,21.33,43.72,60.6,57.5,137.0,127.2,1
24.61,34.0,39.8,65.2,94.7,132.1,140.5,1
31.8,25.8,44.3,60.75,59.75,136.6,127.6,1
28.62,22.48,45.5,70.6,71.8,135.5,129.8,1
25.03,19.75,45.5,67.6,66.7,135.1,128.2,1
29.14,25.47,46.44,64.75,63.22,132.4,125.75,1
53.12,47.0,49.38,48.97,66.5,140.0,131.5,1
34.5,28.02,52.03,48.1,62.4,134.1,123.4,1
32.12,25.64,54.62,46.53,63.38,129.5,115.7,1
39.38,32.47,53.47,50.34,65.4,131.9,119.1,1
41.12,33.72,52.66,50.16,65.5,132.4,121.75,1
37.38,31.98,52.9,48.16,62.94,133.1,122.4,1
35.0,27.17,52.56,50.94,66.44,129.5,116.6,1
40.4,32.44,54.53,51.66,65.7,131.1,119.7,1
36.75,30.05,54.06,48.94,63.28,131.6,119.3,1
22.84,17.88,47.5,66.25,63.56,133.6,126.25,1
41.84,34.62,53.28,49.1,64.25,134.2,122.9,1
33.72,30.48,55.1,49.72,58.75,134.5,126.8,1
41.1,36.75,53.78,49.8,63.44,136.6,129.0,1
50.44,48.0,51.5,47.97,65.06,136.4,130.6,1
38.44,37.1,50.03,49.9,65.25,135.2,128.8,1
44.84,40.88,52.12,48.38,62.78,137.5,129.1,1
35.44,31.56,54.25,49.62,62.72,133.4,123.0,1
35.84,33.12,55.0,49.16,63.44,133.2,123.75,1
45.8,42.6,52.28,48.8,63.5,137.2,130.1,1
34.38,32.94,53.8,48.4,64.06,134.8,126.4,1
26.44,20.69,44.88,61.75,64.6,132.2,125.5,1
31.9,32.72,53.7,46.34,60.56,135.4,126.75,1
22.06,20.06,45.5,61.34,65.06,128.8,123.1,1
65.44,36.25,63.03,59.16,60.78,130.4,115.94,1
57.28,25.95,55.38,70.3,77.3,138.0,121.4,1
56.03,30.08,57.03,67.44,70.06,137.2,118.8,1
54.12,21.9,57.03,64.44,67.8,136.5,114.4,1
52.53,17.95,59.72,53.3,60.97,135.4,108.3,1
56.1,24.72,55.88,52.1,53.47,136.5,112.3,1
23.45,19.83,44.94,62.78,62.84,130.0,124.2,1
48.44,18.78,56.12,60.47,57.88,135.9,112.25,1
50.7,16.72,53.6,59.34,65.1,136.5,109.8,1
55.25,17.1,57.38,61.5,70.94,137.1,109.7,1
58.56,22.81,56.44,61.06,71.25,135.9,113.5,1
53.84,18.08,57.94,58.25,60.62,137.1,109.9,1
51.5,17.1,54.53,63.4,66.9,133.6,111.25,1
52.78,17.72,57.06,61.47,61.28,137.6,112.5,1
54.03,16.69,59.1,58.25,59.3,138.5,110.44,1
57.56,22.39,59.12,52.88,53.94,139.0,113.4,1
52.47,18.1,55.03,64.3,66.2,137.4,113.3,1
20.78,17.8,44.56,66.6,66.5,131.6,126.7,1
55.28,18.08,59.4,54.22,58.66,139.1,110.1,1
58.34,22.81,55.84,54.75,56.5,143.0,116.4,1
22.95,19.83,44.2,65.7,64.2,131.5,125.56,1
28.06,22.94,43.53,65.94,64.6,135.8,127.94,1
41.88,35.0,51.0,52.94,80.8,134.8,126.06,1
41.5,33.38,54.3,50.88,74.56,136.1,127.1,1
32.75,24.58,54.2,51.12,75.3,132.1,122.94,1
27.77,23.27,53.2,53.34,70.44,129.9,124.06,1
25.45,22.16,53.78,56.2,73.3,126.1,121.94,1
25.11,22.2,56.5,54.47,70.94,122.25,118.9,1
31.25,28.14,52.9,50.56,67.3,128.9,125.2,1
31.08,27.94,54.0,54.03,71.7,129.0,125.7,1
45.3,45.7,53.94,48.16,72.75,134.9,128.5,1
25.17,21.28,43.0,62.25,63.9,133.5,126.9,1
21.92,18.03,43.6,66.6,67.4,132.4,126.94,1
20.14,44.22,106.1,46.8,103.0,130.0,135.8,1
26.81,54.94,103.5,64.8,106.44,91.06,128.5,1
25.55,60.62,106.5,63.25,111.75,129.5,132.6,1
24.36,66.2,100.44,62.7,107.75,122.8,133.8,1
30.73,71.1,96.8,68.7,105.44,128.0,133.5,1
15.41,73.8,97.4,68.3,103.9,109.1,136.0,1
25.52,72.4,103.1,60.62,104.6,125.1,134.9,1
18.61,74.25,105.7,54.4,104.56,120.44,135.2,1
25.12,76.8,105.44,55.16,106.44,123.7,136.8,1
25.72,21.5,44.03,64.25,68.0,133.9,129.5,1
22.19,72.1,108.5,54.38,100.44,124.25,134.5,1
27.78,71.2,108.0,55.88,98.9,126.94,128.4,1
29.88,76.56,111.06,49.22,110.6,127.56,135.2,1
27.2,76.56,106.06,54.75,104.3,127.5,137.2,1
17.9,75.9,107.25,45.94,104.6,112.44,135.8,1
18.0,73.0,103.0,60.2,97.7,117.2,134.4,1
25.62,72.9,114.1,45.56,110.1,127.25,135.8,1
26.22,21.75,44.75,66.06,66.7,132.9,127.9,1
41.2,11.23,51.6,64.44,80.94,135.4,111.3,1
32.25,25.1,42.88,60.34,60.34,135.9,127.1,1
45.72,10.89,60.78,56.75,68.06,135.1,103.7,1
28.72,21.8,52.28,56.6,72.6,132.0,99.25,1
44.72,12.51,55.6,59.47,68.75,136.1,108.9,1
42.28,12.75,52.25,58.56,72.5,135.4,110.25,1
43.03,12.47,51.53,61.75,73.4,137.1,111.0,1
42.25,12.75,55.66,55.75,65.94,135.2,107.8,1
41.88,13.875,55.56,57.16,63.78,136.0,112.5,1
43.78,14.01,55.88,60.22,66.4,136.1,110.6,1
42.28,12.85,55.28,60.03,68.0,135.8,106.44,1
35.88,16.02,54.47,60.0,70.1,136.4,105.44,1
25.9,18.27,43.78,58.0,58.06,137.9,121.7,1
42.28,12.81,51.97,57.53,67.75,137.1,112.7,1
38.25,13.766,53.38,60.5,71.2,136.9,108.9,1
34.88,15.87,51.2,59.1,73.25,136.2,106.25,1
45.06,11.445,54.5,58.0,73.0,138.4,105.8,1
36.6,13.164,53.7,56.94,70.2,135.4,103.6,1
33.5,16.25,52.8,59.12,73.06,133.6,103.0,1
38.47,11.48,52.8,56.7,69.0,135.9,107.7,1
37.97,11.016,53.47,58.72,71.4,135.8,108.8,1
